package;file;line;code;type;correct
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;330;Thread.sleep( 1000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;353;Thread.sleep( 3000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;381;Thread.sleep( 3000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;591;Thread.sleep( 3000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;598;Thread.sleep( 3000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;745;Thread.sleep( 1000 );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;763;Thread.sleep( timeout );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;1115;Thread.sleep( timeout - time_diff );ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;585;( mono_now - last_reopen_attempt > 60*1000 ) && !destroyed;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;737;consec_select_fails > 20 && consec_select_fails_start - now > 16*1000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.impl.tcp;/vuze/com/aelitis/azureus/core/networkmanager/impl/tcp/VirtualChannelSelectorImpl.java;752;now - last_select_debug > 5000;TimeoutResources;1
com.aelitis.azureus.core.networkmanager.impl.test;/vuze/com/aelitis/azureus/core/networkmanager/impl/test/PHETester.java;176;Thread.sleep(1000000);ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.test;/vuze/com/aelitis/azureus/core/networkmanager/impl/test/PHETester.java;422;Thread.sleep(10000000);ThreadTime;1
com.aelitis.azureus.core.networkmanager.impl.udp;/vuze/com/aelitis/azureus/core/networkmanager/impl/udp/NetworkGlueLoopBack.java;57;Thread.sleep(1);ThreadTime;1
