package;classname;sync-block;sync-method;time-constraint;sum;
com.aelitis.azureus.core.dht.router;DHTRouter;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterAdapter;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterContact;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterContactAttachment;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterContactWrapper;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterFactory;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterFactoryObserver;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterObserver;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterStats;0;0;0;0;
com.aelitis.azureus.core.dht.router;DHTRouterWrapper;0;0;0;0;
com.aelitis.azureus.core.dht.router.impl;DHTRouterContactImpl;0;0;0;0;
com.aelitis.azureus.core.dht.router.impl;DHTRouterImpl;0;0;1;1;
com.aelitis.azureus.core.dht.router.impl;DHTRouterNodeImpl;0;0;2;2;
com.aelitis.azureus.core.dht.router.impl;DHTRouterStatsImpl;0;0;0;0;
com.aelitis.azureus.core.dht.speed;DHTSpeedTester;0;0;0;0;
com.aelitis.azureus.core.dht.speed;DHTSpeedTesterContact;0;0;0;0;
com.aelitis.azureus.core.dht.speed;DHTSpeedTesterContactListener;0;0;0;0;
com.aelitis.azureus.core.dht.speed;DHTSpeedTesterFactory;0;0;0;0;
com.aelitis.azureus.core.dht.speed;DHTSpeedTesterListener;0;0;0;0;
com.aelitis.azureus.core.dht.speed.impl;DHTSpeedTesterImpl;6;0;0;6;
com.aelitis.azureus.core.dht.speed.impl.DHTSpeedTesterImpl;potentialPing;0;0;0;0;
com.aelitis.azureus.core.dht.speed.impl.DHTSpeedTesterImpl;activePing;6;0;0;6;
com.aelitis.azureus.core.dht.speed.impl.DHTSpeedTesterImpl;pingInstance;0;0;0;0;
com.aelitis.azureus.core.dht.speed.impl.DHTSpeedTesterImpl;pingInstanceSet;3;0;0;3;
com.aelitis.azureus.core.dht.transport;DHTTransport;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportAlternativeContact;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportAlternativeNetwork;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportContact;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportException;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportFactory;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportFindValueReply;0;0;0;0;
com.aelitis.azureus.core.dht.transport;DHTTransportFullStats;0;0;0;0;
